ID,YoB,DoD,Sex,DoB,Horn
4828,1998,15-Feb-99,2,15-Apr-98,1
4827,1998,15-Dec-98,2,15-Apr-98,
4832,1998,15-Feb-99,2,15-Apr-98,3
4833,1997,15-Feb-99,2,15-Apr-97,3
4830,1998,15-Jan-99,2,15-Apr-98,3
4834,1998,15-Jan-99,2,15-Apr-98,3
4835,1998,15-Jan-99,2,15-Apr-98,3
4836,1998,10-Feb-99,1,15-Apr-98,3
4829,1998,15-Dec-98,1,15-Apr-98,2
4837,1995,11-Feb-99,1,15-Apr-95,1
4838,1998,14-Feb-99,2,15-Apr-98,3
4831,1998,15-Feb-99,2,15-Apr-98,1
4839,1995,18-Feb-99,1,15-Apr-95,2
4841,1995,21-Feb-99,2,15-Apr-95,3
4840,1998,20-Feb-99,2,15-Apr-98,3
4847,1996,23-Feb-99,2,15-Apr-96,3
4846,1996,21-Feb-99,2,15-Apr-96,3
4843,1997,20-Feb-99,2,15-Apr-97,3
4844,1998,20-Feb-99,2,15-Apr-98,3
4845,1995,20-Feb-99,2,15-Apr-95,3
4842,1998,18-Feb-99,2,15-Apr-98,3
4848,1995,23-Feb-99,1,15-Apr-95,1
4849,1998,23-Feb-99,1,15-Apr-98,2
4850,1998,23-Feb-99,1,15-Apr-98,1
4856,1998,22-Feb-99,2,15-Apr-98,3
4857,1998,24-Feb-99,2,15-Apr-98,3
4855,1995,22-Feb-99,1,15-Apr-95,1
4854,1996,22-Feb-99,2,15-Apr-96,1
4851,1998,24-Feb-99,2,15-Apr-98,3
4852,1998,24-Feb-99,2,15-Apr-98,3
4853,1995,24-Feb-99,2,15-Apr-95,3
4862,1998,26-Feb-99,2,15-Apr-98,3
4858,1995,27-Feb-99,1,15-Apr-95,3
4861,1998,28-Feb-99,2,15-Apr-98,3
4859,1995,28-Feb-99,2,15-Apr-95,1
4860,1998,27-Feb-99,2,15-Apr-98,3
4863,1998,28-Feb-99,1,15-Apr-98,2
4865,1997,02-Mar-99,2,15-Apr-97,3
4864,1995,02-Mar-99,1,15-Apr-95,3
4868,1995,25-Feb-99,2,15-Apr-95,3
4866,1996,03-Mar-99,2,15-Apr-96,3
4867,1998,03-Mar-99,1,15-Apr-98,1
4869,1995,04-Mar-99,2,15-Apr-95,3
4875,1996,05-Mar-99,2,15-Apr-96,3
4872,1998,05-Mar-99,2,15-Apr-98,1
4871,1997,04-Mar-99,2,15-Apr-97,3
4870,1995,04-Mar-99,1,15-Apr-95,2
4874,1997,05-Mar-99,1,15-Apr-97,2
4873,1995,05-Mar-99,1,15-Apr-95,1
4877,1998,07-Mar-99,2,15-Apr-98,3
4876,1998,06-Mar-99,2,15-Apr-98,1
4904,1998,21-Mar-99,1,15-Apr-98,1
4905,1998,20-Mar-99,1,15-Apr-98,3
4906,1996,20-Mar-99,2,15-Apr-96,3
4907,1998,23-Mar-99,1,15-Apr-98,3
4908,1998,21-Mar-99,1,15-Apr-98,3
4909,1995,24-Mar-99,2,15-Apr-95,3
4878,1996,09-Mar-99,2,15-Apr-96,1
4879,1995,10-Mar-99,1,15-Apr-95,1
4881,1998,11-Mar-99,2,15-Apr-98,1
4883,1998,11-Mar-99,2,15-Apr-98,3
4882,1998,11-Mar-99,1,15-Apr-98,1
4884,1998,11-Mar-99,1,15-Apr-98,3
4880,1996,10-Mar-99,2,15-Apr-96,3
4888,1998,13-Mar-99,2,15-Apr-98,3
4887,1995,10-Mar-99,1,15-Apr-95,1
4885,1998,12-Mar-99,2,15-Apr-98,3
4886,1998,12-Mar-99,1,15-Apr-98,2
4889,1998,15-Mar-99,1,15-Apr-98,2
4890,1993,15-Mar-99,2,15-Apr-93,3
4894,1995,15-Mar-99,1,15-Apr-95,2
4891,1993,15-Mar-99,1,15-Apr-93,2
4893,1995,16-Mar-99,1,15-Apr-95,2
4892,1998,14-Mar-99,2,15-Apr-98,3
4897,1998,17-Mar-99,1,15-Apr-98,3
4895,1998,16-Mar-99,1,15-Apr-98,2
4896,1998,14-Mar-99,2,15-Apr-98,3
4898,1998,18-Mar-99,1,15-Apr-98,2
4899,1998,19-Mar-99,1,15-Apr-98,1
4900,1997,19-Mar-99,1,15-Apr-97,3
4901,1995,20-Mar-99,2,15-Apr-95,3
4902,1995,24-Mar-99,1,15-Apr-95,1
4903,1998,22-Mar-99,1,15-Apr-98,2
4910,1998,25-Mar-99,1,15-Apr-98,2
4911,1997,25-Mar-99,2,15-Apr-97,3
4915,1998,25-Mar-99,1,15-Apr-98,2
4914,1995,25-Mar-99,1,15-Apr-95,2
4913,1998,26-Mar-99,1,15-Apr-98,1
4912,1995,26-Mar-99,1,15-Apr-95,1
4916,1998,26-Mar-99,2,15-Apr-98,1
4917,1995,24-Mar-99,1,15-Apr-95,1
4918,1998,01-Apr-99,2,15-Apr-98,3
4919,1995,01-Apr-99,1,15-Apr-95,3
4920,1998,31-Mar-99,2,15-Apr-98,3
4921,1998,31-Mar-99,1,15-Apr-98,1
4922,1995,03-Apr-99,1,15-Apr-95,2
4924,1995,03-Apr-99,1,15-Apr-95,1
4923,1998,03-Apr-99,1,15-Apr-98,2
4925,1998,05-Apr-99,2,15-Apr-98,3
4926,1995,05-Apr-99,2,15-Apr-95,1
4927,1998,08-Apr-99,1,15-Apr-98,2
4928,1998,12-Apr-99,1,15-Apr-98,2
4929,1997,13-Apr-99,2,15-Apr-97,1
4930,1998,01-May-99,1,15-Apr-98,2
4931,1995,01-May-99,2,15-Apr-95,3
4933,1995,01-May-99,2,15-Apr-95,3
4932,1998,01-May-99,1,15-Apr-98,3
4934,1996,01-May-99,2,15-Apr-96,3
6081,2005,29-Mar-06,2,04-Apr-05,3
6082,2005,24-Mar-12,1,07-Apr-05,3
6087,2005,18-Sep-05,1,08-Apr-05,2
6085,2005,13-Apr-06,1,11-Apr-05,2
6088,2005,15-Jan-11,2,11-Apr-05,3
6141,2005,23-Apr-05,2,16-Apr-05,
6544,2005,15-Mar-07,2,15-Apr-05,3
6089,2005,30-Mar-14,1,13-Apr-05,3
6090,2005,31-Mar-06,1,13-Apr-05,2
6091,2005,18-Apr-07,1,11-Apr-05,2
6093,2005,15-Mar-06,2,15-Apr-05,3
6545,2005,24-Jan-09,2,15-Apr-05,3
6094,2005,15-Jul-06,1,15-Apr-05,2
6552,2005,15-Mar-07,2,15-Apr-05,3
6095,2005,15-Apr-06,2,14-Apr-05,3
6553,2005,15-Mar-07,2,15-Apr-05,1
6096,2005,10-Apr-06,1,15-Apr-05,1
6097,2005,15-Mar-07,2,17-Apr-05,3
6098,2005,09-Jun-05,2,17-Apr-05,
6101,2005,15-Apr-06,1,16-Apr-05,1
6102,2005,28-Feb-12,2,16-Apr-05,3
6103,2005,15-Mar-06,1,15-Apr-05,2
6104,2005,29-Mar-06,2,16-Apr-05,3
6105,2005,19-Mar-07,2,16-Apr-05,3
6106,2005,18-Jan-08,2,17-Apr-05,3
6107,2005,15-Mar-06,1,18-Apr-05,2
6108,2005,31-Mar-06,1,17-Apr-05,3
6110,2005,15-Jan-06,2,15-Apr-05,3
6112,2005,29-Mar-06,1,17-Apr-05,2
6111,2005,15-Dec-05,2,15-Apr-05,3
6113,2005,13-Apr-06,1,17-Apr-05,1
6114,2005,15-Mar-07,2,17-Apr-05,3
6115,2005,10-Jun-05,2,19-Apr-05,
6116,2005,13-Mar-12,2,19-Apr-05,3
6117,2005,31-Mar-06,1,19-Apr-05,2
6118,2005,19-Mar-16,1,18-Apr-05,3
6796,2005,15-Mar-12,2,15-Apr-05,3
6119,2005,15-Mar-12,2,18-Apr-05,3
6120,2005,06-Apr-12,1,19-Apr-05,3
6797,2005,10-Jun-12,2,15-Apr-05,3
6806,2005,27-Jan-11,2,15-Apr-05,3
6121,2005,30-Oct-10,2,19-Apr-05,3
6122,2005,28-Mar-06,2,19-Apr-05,3
6123,2005,24-Sep-05,1,19-Apr-05,2
6125,2005,15-Jul-11,1,17-Apr-05,2
6126,2005,31-Mar-06,2,19-Apr-05,3
6809,2005,26-Jan-11,2,15-Apr-05,3
6128,2005,29-Apr-05,2,16-Apr-05,
6130,2005,28-Apr-05,2,18-Apr-05,
6131,2005,15-Apr-06,1,19-Apr-05,2
6132,2005,15-Mar-07,2,18-Apr-05,3
6133,2005,23-Jan-06,1,20-Apr-05,1
6134,2005,31-Mar-06,2,19-Apr-05,3
6135,2005,29-Mar-06,1,19-Apr-05,1
6137,2005,29-Mar-06,2,19-Apr-05,1
6138,2005,15-Apr-06,1,19-Apr-05,2
6139,2005,15-Jun-06,1,20-Apr-05,2
6140,2005,29-Mar-06,1,21-Apr-05,3
6142,2005,29-Mar-06,1,20-Apr-05,3
6143,2005,15-Apr-06,1,18-Apr-05,2
6144,2005,29-Mar-06,1,18-Apr-05,2
6146,2005,18-Aug-06,2,21-Apr-05,3
6147,2005,23-Mar-12,1,17-Apr-05,1
6149,2005,27-Jul-09,1,17-Apr-05,2
6150,2005,02-Apr-12,1,22-Apr-05,1
6152,2005,15-Jan-06,2,22-Apr-05,3
6153,2005,31-Mar-06,1,20-Apr-05,3
6154,2005,02-Jun-06,1,21-Apr-05,2
6155,2005,30-Jun-13,1,21-Apr-05,2
6156,2005,29-Mar-06,2,21-Apr-05,1
6157,2005,15-Feb-06,1,20-Apr-05,2
6158,2005,31-Mar-06,2,21-Apr-05,3
6160,2005,31-Mar-06,1,22-Apr-05,1
6161,2005,29-Mar-06,1,18-Apr-05,2
6162,2005,02-Apr-07,2,21-Apr-05,3
6163,2005,29-Mar-06,2,19-Apr-05,3
6818,2005,27-Mar-08,2,15-Apr-05,3
6164,2005,15-Jan-10,1,17-Apr-05,3
6165,2005,03-Apr-06,1,23-Apr-05,3
7354,2005,15-Mar-14,2,15-Apr-05,3
6166,2005,15-Mar-06,2,22-Apr-05,3
6167,2005,29-Mar-06,2,23-Apr-05,3
7751,2005,11-Jul-12,2,15-Apr-05,3
6169,2005,02-Jun-07,1,21-Apr-05,3
6170,2005,15-Mar-07,2,20-Apr-05,3
6171,2005,09-Apr-12,1,24-Apr-05,2
6172,2005,19-Mar-07,1,23-Apr-05,1
6173,2005,19-Mar-07,1,24-Apr-05,3
6174,2005,30-Jul-08,1,24-Apr-05,1
6175,2005,15-Dec-05,2,24-Apr-05,3
6177,2005,29-Mar-06,2,20-Apr-05,3
6178,2005,29-Mar-06,1,22-Apr-05,1
6179,2005,15-Sep-05,1,22-Apr-05,2
6180,2005,15-Apr-06,2,25-Apr-05,3
6181,2005,23-Jan-06,2,25-Apr-05,3
6182,2005,15-Apr-14,1,24-Apr-05,2
6183,2005,29-Mar-06,1,21-Apr-05,3
6184,2005,15-Mar-07,2,25-Apr-05,3
6185,2005,28-Apr-05,1,21-Apr-05,
6305,2005,17-Sep-06,1,15-Apr-05,2
6306,2005,24-Sep-05,2,15-Apr-05,3
6276,2005,19-Nov-05,1,05-May-05,3
6308,2005,19-Jan-06,1,15-Apr-05,1
6309,2005,23-Sep-05,2,15-Apr-05,3
6277,2005,31-Mar-06,2,08-May-05,3
6313,2005,15-Mar-07,2,15-Apr-05,3
6316,2005,31-Mar-06,2,15-Apr-05,3
6203,2005,25-Jul-07,1,22-Apr-05,2
6187,2005,15-Feb-06,2,20-Apr-05,3
6188,2005,09-Apr-06,1,26-Apr-05,2
6190,2005,15-Jun-05,2,24-Apr-05,
6191,2005,29-Mar-06,2,25-Apr-05,3
6192,2005,15-Oct-05,1,25-Apr-05,3
6193,2005,23-Mar-12,1,13-Apr-05,2
6194,2005,15-Mar-06,2,29-Apr-05,3
6195,2005,27-Jan-11,2,21-Apr-05,3
6197,2005,15-Apr-06,1,28-Apr-05,1
6198,2005,15-Feb-06,2,23-Apr-05,1
6199,2005,15-Jun-05,2,17-Apr-05,
6200,2005,15-Apr-06,1,01-May-05,1
6201,2005,15-Feb-06,2,17-Apr-05,3
6202,2005,15-Mar-07,2,02-May-05,3
6303,2005,24-Sep-05,2,15-Apr-05,3
6304,2005,20-Sep-06,1,15-Apr-05,1
6311,2005,15-Feb-06,2,15-Apr-05,3
6317,2005,18-Jan-09,2,15-Apr-05,3
6321,2005,30-Jan-10,2,15-Apr-05,3
6322,2005,15-Mar-09,2,15-Apr-05,3
