ID,Sex,OffspringBirthYear,OffspringBorn,Off1stReprod,Horn,DoB,YoB,DoD
15,2,1987,5,5,3,15-Apr-85,1985,15-Mar-89
15,2,1988,4,2,3,15-Apr-85,1985,15-Mar-89
17,2,1987,2,2,3,15-Apr-85,1985,23-Mar-91
17,2,1988,3,2,3,15-Apr-85,1985,23-Mar-91
17,2,1989,1,1,3,15-Apr-85,1985,23-Mar-91
17,2,1991,1,1,3,15-Apr-85,1985,23-Mar-91
26,2,1988,1,1,3,15-Apr-85,1985,15-Mar-89
42,2,1994,4,1,3,15-Apr-89,1989,28-Jan-95
42,2,1995,5,2,3,15-Apr-89,1989,28-Jan-95
43,2,1995,1,1,3,15-Apr-89,1989,28-Jan-95
45,2,1997,2,1,3,15-May-92,1992,28-Feb-99
46,2,1995,1,1,3,15-Apr-90,1990,22-Nov-97
46,2,1997,3,3,3,15-Apr-90,1990,22-Nov-97
46,2,1998,2,0,3,15-Apr-90,1990,22-Nov-97
47,2,1997,3,0,3,15-Apr-94,1994,20-Mar-99
47,2,1998,8,4,3,15-Apr-94,1994,20-Mar-99
47,2,1999,3,2,3,15-Apr-94,1994,20-Mar-99
58,2,1996,2,1,3,15-Apr-90,1990,25-Jan-97
58,2,1997,6,5,3,15-Apr-90,1990,25-Jan-97
59,2,1996,2,1,3,15-Apr-93,1993,19-Jan-97
61,2,1996,1,1,3,15-Apr-91,1991,15-Mar-02
61,2,1997,2,2,3,15-Apr-91,1991,15-Mar-02
61,2,1998,4,2,3,15-Apr-91,1991,15-Mar-02
61,2,1999,5,4,3,15-Apr-91,1991,15-Mar-02
61,2,2000,8,6,3,15-Apr-91,1991,15-Mar-02
61,2,2001,10,6,3,15-Apr-91,1991,15-Mar-02
61,2,2002,4,4,3,15-Apr-91,1991,15-Mar-02
63,2,1997,1,1,3,15-Apr-90,1990,30-Jan-97
66,2,1996,1,1,3,15-Apr-93,1993,15-Mar-99
66,2,1999,2,2,3,15-Apr-93,1993,15-Mar-99
67,2,1996,1,1,3,15-Apr-93,1993,15-Mar-99
67,2,1998,1,0,3,15-Apr-93,1993,15-Mar-99
67,2,1999,2,2,3,15-Apr-93,1993,15-Mar-99
69,2,1996,7,6,3,15-Apr-89,1989,28-Jan-97
69,2,1997,4,3,3,15-Apr-89,1989,28-Jan-97
70,2,1996,1,1,3,15-Apr-91,1991,28-Jan-97
70,2,1997,3,3,3,15-Apr-91,1991,28-Jan-97
72,2,1996,2,1,3,15-Apr-90,1990,01-Mar-99
72,2,1997,7,6,3,15-Apr-90,1990,01-Mar-99
72,2,1998,3,3,3,15-Apr-90,1990,01-Mar-99
72,2,1999,4,4,3,15-Apr-90,1990,01-Mar-99
78,2,1998,1,0,3,15-Apr-95,1995,15-Mar-99
79,2,1997,4,4,3,15-Apr-92,1992,19-Jan-98
79,2,1998,5,3,3,15-Apr-92,1992,19-Jan-98
80,2,1998,1,0,3,15-Apr-92,1992,24-Jan-98
81,2,2000,1,1,3,15-Apr-94,1994,15-Apr-02
81,2,2001,4,3,3,15-Apr-94,1994,15-Apr-02
82,2,1997,4,3,3,15-Apr-89,1989,15-Mar-99
82,2,1998,5,3,3,15-Apr-89,1989,15-Mar-99
82,2,1999,7,6,3,15-Apr-89,1989,15-Mar-99
83,2,1997,2,2,3,15-Apr-92,1992,15-Mar-99
83,2,1998,5,3,3,15-Apr-92,1992,15-Mar-99
83,2,1999,2,1,3,15-Apr-92,1992,15-Mar-99
84,2,1997,2,1,3,15-Apr-89,1989,28-Jan-98
84,2,1998,3,3,3,15-Apr-89,1989,28-Jan-98
421,2,1988,3,0,3,15-Apr-79,1979,02-Mar-89
421,2,1989,1,1,3,15-Apr-79,1979,02-Mar-89
564,2,1987,3,2,3,24-Apr-80,1980,03-Mar-89
575,2,1987,2,2,3,21-Apr-80,1980,15-Mar-89
575,2,1988,6,4,3,21-Apr-80,1980,15-Mar-89
576,2,1988,1,1,3,23-Apr-80,1980,15-Mar-91
743,2,1987,6,6,3,15-Apr-81,1981,15-Mar-89
