ID,Expr1001,CapYear,HornLen,Horn01
1540,,1985,,
1546,,1985,,
1055,,1985,,
94,615,1985,615,
546,,1985,,
1201,296,1985,296,
195,30,1985,30,
95,,1985,,
1056,294,1985,294,
1061,326,1985,326,
1062,164,1985,164,
1203,314,1985,314,
1204,256,1985,256,
1206,310,1985,310,
1265,,1985,,
1064,443,1985,443,
547,201,1985,201,
1063,314,1985,314,
1202,255,1985,255,
1205,299,1985,299,
1060,456,1985,456,
903,,1985,,
1067,,1985,,
202,,1985,,
549,,1985,,
1066,,1985,,
1266,292,1985,292,
1268,266,1985,266,
1288,115,1985,115,
300,138,1985,138,
1069,,1985,,
1413,65,1985,65,
1508,161,1985,161,
1541,150,1985,150,
409,23,1985,23,
1065,138,1985,138,
1207,40,1985,40,
1,,1985,,
548,166,1985,166,
1068,344,1985,344,
1208,127,1985,127,
1209,284,1985,284,
1107,385,1985,385,
905,,1985,,
1518,160,1985,160,
1354,104,1985,104,
1511,,1985,,
425,,1985,,
1072,,1985,,
1270,260,1985,260,
745,464,1985,464,
1071,326,1985,326,
1210,260,1985,260,
1211,220,1985,220,
1213,,1985,,
1214,165,1985,165,
1443,74,1985,74,
1453,,1985,,
1525,134,1985,134,
1269,105,1985,105,
2,375,1985,375,
411,,1985,,
1070,,1985,,
410,,1985,,
739,,1985,,
550,185,1985,185,
1212,,1985,,
1549,44,1985,44,
1422,5,1985,5,
86,175,1985,175,
203,,1985,,
1217,301,1985,301,
1492,93,1985,93,
1493,75,1985,75,
3,,1985,,
1215,,1985,,
571,40,1985,40,
1216,15,1985,15,
1218,40,1985,40,
746,,1985,,
1271,287,1985,287,
1073,122,1985,122,
1221,163,1985,163,
1487,80,1985,80,
1488,137,1985,137,
1220,230,1985,230,
1222,,1985,,
907,,1985,,
1219,212,1985,212,
552,95,1985,95,
906,,1985,,
551,,1985,,
415,,1985,,
1074,,1985,,
4,138,1985,138,
1223,316,1985,316,
1224,219,1985,219,
553,160,1985,160,
1355,,1985,,
1356,,1985,,
1383,,1985,,
1080,,1985,,
1076,,1985,,
1077,,1985,,
1079,,1985,,
1082,,1985,,
1226,,1985,,
1267,326,1985,326,
1225,,1985,,
1081,,1985,,
554,,1985,,
555,,1985,,
556,,1985,,
1075,,1985,,
1078,,1985,,
574,,1985,,
1228,148,1985,148,
5,,1985,,
204,,1985,,
1227,,1985,,
416,107,1985,107,
6,,1985,,
298,,1985,,
908,388,1985,388,
1272,212,1985,212,
1083,250,1985,250,
426,,1985,,
557,,1985,,
96,155,1985,155,
1230,285,1985,285,
1231,313,1985,313,
301,,1985,,
558,220,1985,220,
1229,139,1985,139,
196,,1985,,
197,98,1985,98,
1273,268,1985,268,
747,134,1985,134,
1084,321,1985,321,
1085,372,1985,372,
1086,356,1985,356,
1087,382,1985,382,
1088,338,1985,338,
1233,214,1985,214,
1232,285,1985,285,
299,186,1985,186,
559,,1985,,
1369,,1985,,
1384,,1985,,
1442,,1985,,
1490,,1985,,
1491,,1985,,
1547,,1985,,
412,,1985,,
417,,1985,,
560,,1985,,
1089,,1985,,
1235,,1985,,
198,,1985,,
1234,158,1985,158,
1236,266,1985,266,
1238,143,1985,143,
1239,276,1985,276,
93,174,1985,174,
901,161,1985,161,
748,8,1985,8,
1398,,1985,,
7,178,1985,178,
1274,209,1985,209,
1361,,1985,,
1536,,1985,,
749,12,1985,12,
1237,134,1985,134,
1368,,1985,,
1092,,1985,,
909,137,1985,137,
1090,176,1985,176,
740,34,1985,34,
741,59,1985,59,
1091,,1985,,
1485,,1985,,
1519,,1985,,
1534,,1985,,
1477,,1985,,
1486,,1985,,
1438,,1985,,
1240,,1985,,
1241,,1985,,
1275,272,1985,272,
898,197,1985,197,
1242,149,1985,149,
1512,,1985,,
199,65,1985,65,
418,19,1985,19,
1517,,1985,,
1243,,1985,,
577,,1985,,
1244,127,1985,127,
1245,296,1985,296,
205,,1985,,
1379,,1985,,
1408,,1985,,
562,,1985,,
1246,28,1985,28,
424,,1985,,
561,,1985,,
1264,,1985,,
1276,345,1985,345,
1057,412,1985,412,
578,,1985,,
200,529,1985,529,
910,77,1985,77,
1093,,1985,,
1094,166,1985,166,
563,416,1985,416,
565,374,1985,374,
895,,1985,,
564,,1985,,
1482,,1985,,
1502,,1985,,
1537,,1985,,
1551,,1985,,
1513,,1985,,
1367,,1985,,
1414,,1985,,
1440,,1985,,
