Year ,Ram Lambs,Village Total ,Ram Yr,Ewe Lambs,Ewe Yrs
2022,90,510,NA,90,NA
2021,101,557,14,103,39
2020,76,502,17,90,31
2019,96,508,24,90,44
2018,58,378,41,75,50
2017,95,528,3,94,11
2016,71,444,24,82,44
2015,79,513,8,102,31
2014,90,482,21,80,34
2013,95,545,19,105,31
2012,54,362,51,64,59
2011,110,649,2,91,12
2010,85,672,19,112,36
2009,88,617,40,95,57
2008,89,567,37,105,60
2007,72,447,39,82,49
2006,88,467,14,74,33
2005,54,405,16,72,36
2004,105,671,4,116,7
2003,81,494,76,102,86
2002,63,335,55,53,45
2001,119,651,0,102,9
2000,71,461,59,78,70
1999,59,591,47,54,52
1998,99,591,1,92,16
1997,88,542,22,74,32
1996,106,575,30,82,35
1995,37,357,59,61,55
1994,49,435,4,68,20
1993,59,443,22,91,43
1992,41,321,31,46,40
1991,63,414,15,84,24
1990,48,290,46,59,53
1989,34,211,24,32,27
1988,70,457,2,79,15
1987,65,331,61,72,57
1986,23,211,23,33,26
